CUSTOMERNAME,PREDICTED_NEXT_PURCHASE_DAYS,RECOMMENDED_COUNTRY,RECOMMENDED_PRODUCT,TOTAL_SPENT,ORDER_COUNT,CAMPAIGN_DATE,PRIORITY_GROUP,VALUE_SEGMENT
La Rochelle Gifts,7.56,Australia,Motorcycles,153909.82,4,2005-06-01 13:26:24,HIGH PRIORITY (Within 30 days),HIGH VALUE
Muscle Machine Inc,2.1,USA,Classic Cars,151782.04,4,2005-05-27 02:24:00,HIGH PRIORITY (Within 30 days),HIGH VALUE
Land of Toys Inc.,2.96,USA,Motorcycles,138798.17,4,2005-05-27 23:02:24,HIGH PRIORITY (Within 30 days),HIGH VALUE
"AV Stores, Co.",2.1,UK,Vintage Cars,136873.25,3,2005-05-27 02:24:00,HIGH PRIORITY (Within 30 days),HIGH VALUE
The Sharp Gifts Warehouse,14.9,USA,Planes,136383.04,4,2005-06-08 21:36:00,HIGH PRIORITY (Within 30 days),HIGH VALUE
Souveniers And Things Co.,16.04,Australia,Vintage Cars,133223.38,4,2005-06-10 00:57:36,HIGH PRIORITY (Within 30 days),HIGH VALUE
Rovelli Gifts,2.96,Italy,Vintage Cars,127143.64,3,2005-05-27 23:02:24,HIGH PRIORITY (Within 30 days),HIGH VALUE
Salzburg Collectables,10.12,Austria,Classic Cars,126287.85,4,2005-06-04 02:52:48,HIGH PRIORITY (Within 30 days),HIGH VALUE
"Anna's Decorations, Ltd",0.0,Australia,Classic Cars,121260.41,4,2005-05-25 00:00:00,HIGH PRIORITY (Within 30 days),HIGH VALUE
Corporate Gift Ideas Co.,1.72,USA,Vintage Cars,118844.95,4,2005-05-26 17:16:48,HIGH PRIORITY (Within 30 days),HIGH VALUE
"Saveley & Henriot, Co.",0.86,France,Vintage Cars,118580.23,3,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),HIGH VALUE
Reims Collectables,14.7,France,Classic Cars,116502.73,5,2005-06-08 16:48:00,HIGH PRIORITY (Within 30 days),HIGH VALUE
Scandinavian Gift Ideas,6.78,Singapore,Classic Cars,115889.89,3,2005-05-31 18:43:12,HIGH PRIORITY (Within 30 days),HIGH VALUE
Danish Wholesale Imports,23.96,Denmark,Classic Cars,115268.84,5,2005-06-17 23:02:24,HIGH PRIORITY (Within 30 days),HIGH VALUE
L'ordine Souveniers,2.58,Italy,Classic Cars,109614.22,3,2005-05-27 13:55:12,HIGH PRIORITY (Within 30 days),HIGH VALUE
Technics Stores Inc.,0.86,USA,Motorcycles,102489.13,4,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Online Diecast Creations Co.,0.86,USA,Classic Cars,101428.5,3,2005-05-25 20:38:24,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Handji Gifts& Co,12.9,Singapore,Classic Cars,96705.55,4,2005-06-06 21:36:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
Diecast Classics Inc.,8.6,USA,Planes,96378.27,4,2005-06-02 14:24:00,HIGH PRIORITY (Within 30 days),STANDARD VALUE
